features,num_visual_words,preprocess,classifier,best_cv_score
sift,5,std_scaler,gaussian_nb,0.4034
sift,10,std_scaler,gaussian_nb,0.3892
sift,15,std_scaler,gaussian_nb,0.418
sift,20,std_scaler,gaussian_nb,0.418
sift,25,std_scaler,gaussian_nb,0.4399
sift,30,std_scaler,gaussian_nb,0.4185
sift,35,std_scaler,gaussian_nb,0.4257
sift,40,std_scaler,gaussian_nb,0.4185
sift,45,std_scaler,gaussian_nb,0.4257
sift,50,std_scaler,gaussian_nb,0.4405
sift,55,std_scaler,gaussian_nb,0.4548
sift,60,std_scaler,gaussian_nb,0.4328
sift,65,std_scaler,gaussian_nb,0.455
sift,70,std_scaler,gaussian_nb,0.469
sift,75,std_scaler,gaussian_nb,0.4548
sift,80,std_scaler,gaussian_nb,0.4765
sift,85,std_scaler,gaussian_nb,0.4622
sift,90,std_scaler,gaussian_nb,0.4479
sift,95,std_scaler,gaussian_nb,0.4696
sift,100,std_scaler,gaussian_nb,0.4696
sift,105,std_scaler,gaussian_nb,0.4767
sift,110,std_scaler,gaussian_nb,0.4622
sift,115,std_scaler,gaussian_nb,0.4553
sift,120,std_scaler,gaussian_nb,0.469
sift,125,std_scaler,gaussian_nb,0.4841
sift,130,std_scaler,gaussian_nb,0.4841
sift,135,std_scaler,gaussian_nb,0.4918
sift,140,std_scaler,gaussian_nb,0.455
sift,145,std_scaler,gaussian_nb,0.4772
sift,150,std_scaler,gaussian_nb,0.4844
sift,155,std_scaler,gaussian_nb,0.469
sift,160,std_scaler,gaussian_nb,0.4696
sift,165,std_scaler,gaussian_nb,0.4847
sift,170,std_scaler,gaussian_nb,0.5063
sift,175,std_scaler,gaussian_nb,0.4844
sift,180,std_scaler,gaussian_nb,0.4847
sift,185,std_scaler,gaussian_nb,0.5063
sift,190,std_scaler,gaussian_nb,0.4995
sift,195,std_scaler,gaussian_nb,0.5066
sift,200,std_scaler,gaussian_nb,0.5069
