features,num_visual_words,preprocess,classifier,C,degree,gamma,kernel,best_cv_score
sift,5,std_scaler,svc,2,2,auto,rbf,0.4262
sift,5,tf_idf,svc,0.3,4,scale,poly,0.4854
sift,10,std_scaler,svc,5,2,auto,rbf,0.4997
sift,10,tf_idf,svc,6,2,scale,rbf,0.5296
sift,15,std_scaler,svc,7,2,scale,linear,0.5802
sift,15,tf_idf,svc,0.6,2,scale,poly,0.6093
sift,20,std_scaler,svc,3,2,scale,rbf,0.5505
sift,20,tf_idf,svc,5,2,scale,rbf,0.5955
sift,25,std_scaler,svc,0.2,2,scale,linear,0.5656
sift,25,tf_idf,svc,5,2,scale,rbf,0.5884
sift,30,std_scaler,svc,3,2,auto,rbf,0.5431
sift,30,tf_idf,svc,8,2,scale,linear,0.581
sift,35,std_scaler,svc,3,2,auto,rbf,0.5579
sift,35,tf_idf,svc,0.1,2,scale,poly,0.6026
sift,40,std_scaler,svc,0.8,2,scale,linear,0.5873
sift,40,tf_idf,svc,0.7,2,scale,poly,0.6034
sift,45,std_scaler,svc,10,2,auto,rbf,0.5286
sift,45,tf_idf,svc,0.4,3,scale,poly,0.5656
sift,50,std_scaler,svc,2,2,scale,linear,0.5884
sift,50,tf_idf,svc,0.1,2,scale,poly,0.6172
sift,55,std_scaler,svc,0.2,2,scale,linear,0.5661
sift,55,tf_idf,svc,0.1,2,scale,poly,0.6325
sift,60,std_scaler,svc,0.1,2,scale,linear,0.5728
sift,60,tf_idf,svc,0.1,3,scale,poly,0.6325
sift,65,std_scaler,svc,7,2,scale,rbf,0.5582
sift,65,tf_idf,svc,0.1,5,scale,poly,0.6175
sift,70,std_scaler,svc,0.9,2,scale,linear,0.5878
sift,70,tf_idf,svc,0.1,4,scale,poly,0.6394
sift,75,std_scaler,svc,0.2,2,scale,linear,0.5362
sift,75,tf_idf,svc,6,2,scale,rbf,0.6101
sift,80,std_scaler,svc,0.3,2,scale,linear,0.5508
sift,80,tf_idf,svc,0.3,3,scale,poly,0.6246
sift,85,std_scaler,svc,0.2,2,scale,linear,0.5807
sift,85,tf_idf,svc,0.1,5,scale,poly,0.6243
sift,90,std_scaler,svc,2,2,auto,rbf,0.5354
sift,90,tf_idf,svc,1,2,scale,poly,0.6093
sift,95,std_scaler,svc,0.2,2,scale,linear,0.5585
sift,95,tf_idf,svc,2,2,scale,linear,0.5878
sift,100,std_scaler,svc,2,2,scale,rbf,0.5429
sift,100,tf_idf,svc,3,2,scale,linear,0.6249
sift,105,std_scaler,svc,0.4,2,scale,linear,0.6101
sift,105,tf_idf,svc,0.1,5,scale,poly,0.6616
sift,110,std_scaler,svc,2,2,auto,rbf,0.5505
sift,110,tf_idf,svc,5,2,scale,rbf,0.6103
sift,115,std_scaler,svc,8,2,auto,rbf,0.5212
sift,115,tf_idf,svc,4,2,scale,rbf,0.595
sift,120,std_scaler,svc,5,3,auto,poly,0.5582
sift,120,tf_idf,svc,3,2,scale,rbf,0.6029
sift,125,std_scaler,svc,7,2,auto,rbf,0.559
sift,125,tf_idf,svc,0.7,2,scale,poly,0.6177
sift,130,std_scaler,svc,0.3,2,scale,linear,0.5291
sift,130,tf_idf,svc,0.9,2,scale,poly,0.6172
sift,135,std_scaler,svc,0.2,2,scale,linear,0.5585
sift,135,tf_idf,svc,2,2,scale,linear,0.618
sift,140,std_scaler,svc,0.2,2,scale,linear,0.5362
sift,140,tf_idf,svc,2,2,scale,poly,0.632
sift,145,std_scaler,svc,5,2,scale,rbf,0.5434
sift,145,tf_idf,svc,3,2,scale,poly,0.6175
sift,150,std_scaler,svc,0.2,2,scale,linear,0.5368
sift,150,tf_idf,svc,0.4,2,scale,poly,0.6254
sift,155,std_scaler,svc,7,3,auto,poly,0.5437
sift,155,tf_idf,svc,0.1,5,scale,poly,0.6397
sift,160,std_scaler,svc,3,2,scale,rbf,0.5508
sift,160,tf_idf,svc,0.1,5,scale,poly,0.6175
sift,165,std_scaler,svc,0.1,2,scale,linear,0.5429
sift,165,tf_idf,svc,0.1,4,scale,poly,0.6246
sift,170,std_scaler,svc,0.2,2,scale,linear,0.536
sift,170,tf_idf,svc,5,2,scale,linear,0.6106
sift,175,std_scaler,svc,0.1,2,scale,linear,0.5722
sift,175,tf_idf,svc,7,2,scale,linear,0.6619
sift,180,std_scaler,svc,0.2,2,scale,linear,0.587
sift,180,tf_idf,svc,0.3,2,scale,poly,0.6175
sift,185,std_scaler,svc,3,2,scale,rbf,0.5434
sift,185,tf_idf,svc,0.2,2,scale,poly,0.6172
sift,190,std_scaler,svc,0.2,2,scale,linear,0.5733
sift,190,tf_idf,svc,2,2,scale,poly,0.6323
sift,195,std_scaler,svc,3,2,scale,rbf,0.5431
sift,195,tf_idf,svc,2,2,scale,linear,0.6399
sift,200,std_scaler,svc,4,2,auto,rbf,0.5434
sift,200,tf_idf,svc,2,2,scale,linear,0.6394
