features,num_visual_words,preprocess,ensemble,test_acc,test_f1
sift,5,tf_idf,knn_svc_adaboost,0.3235,0.3116
sift,10,tf_idf,knn_svc_adaboost,0.5,0.4688
sift,15,tf_idf,knn_svc_adaboost,0.5588,0.5321
sift,20,tf_idf,knn_svc_adaboost,0.6176,0.6086
sift,25,tf_idf,knn_svc_adaboost,0.6176,0.597
sift,30,tf_idf,knn_svc_adaboost,0.5294,0.4766
sift,35,tf_idf,knn_svc_adaboost,0.6176,0.5611
sift,40,tf_idf,knn_svc_adaboost,0.5882,0.5922
sift,45,tf_idf,knn_svc_adaboost,0.6176,0.5889
sift,50,tf_idf,knn_svc_adaboost,0.5,0.4656
sift,55,tf_idf,knn_svc_adaboost,0.5294,0.4725
sift,60,tf_idf,knn_svc_adaboost,0.5882,0.5556
sift,65,tf_idf,knn_svc_adaboost,0.5588,0.5467
sift,70,tf_idf,knn_svc_adaboost,0.6176,0.5728
sift,75,tf_idf,knn_svc_adaboost,0.5882,0.584
sift,80,tf_idf,knn_svc_adaboost,0.5882,0.5688
sift,85,tf_idf,knn_svc_adaboost,0.5882,0.5647
sift,90,tf_idf,knn_svc_adaboost,0.5,0.4567
sift,95,tf_idf,knn_svc_adaboost,0.5588,0.5104
sift,100,tf_idf,knn_svc_adaboost,0.5294,0.4733
sift,105,tf_idf,knn_svc_adaboost,0.5294,0.5396
sift,110,tf_idf,knn_svc_adaboost,0.6471,0.6023
sift,115,tf_idf,knn_svc_adaboost,0.5,0.4845
sift,120,tf_idf,knn_svc_adaboost,0.6176,0.6037
sift,125,tf_idf,knn_svc_adaboost,0.5588,0.5321
sift,130,tf_idf,knn_svc_adaboost,0.5882,0.5327
sift,135,tf_idf,knn_svc_adaboost,0.6176,0.604
sift,140,tf_idf,knn_svc_adaboost,0.5882,0.5641
sift,145,tf_idf,knn_svc_adaboost,0.6471,0.6356
sift,150,tf_idf,knn_svc_adaboost,0.5,0.4833
sift,155,tf_idf,knn_svc_adaboost,0.4412,0.4245
sift,160,tf_idf,knn_svc_adaboost,0.5,0.4551
sift,165,tf_idf,knn_svc_adaboost,0.5882,0.575
sift,170,tf_idf,knn_svc_adaboost,0.5588,0.5297
sift,175,tf_idf,knn_svc_adaboost,0.3824,0.3564
sift,180,tf_idf,knn_svc_adaboost,0.5588,0.5065
sift,185,tf_idf,knn_svc_adaboost,0.5882,0.5623
sift,190,tf_idf,knn_svc_adaboost,0.5882,0.5271
sift,195,tf_idf,knn_svc_adaboost,0.5882,0.5319
sift,200,tf_idf,knn_svc_adaboost,0.5294,0.5075
