features,num_visual_words,preprocess,classifier,metric,n_neighbors,weights,best_cv_score
sift,5,std_scaler,knn,manhattan,15,distance,0.4775
sift,5,tf_idf,knn,euclidean,7,uniform,0.477
sift,10,std_scaler,knn,euclidean,22,distance,0.4849
sift,10,tf_idf,knn,euclidean,7,distance,0.5362
sift,15,std_scaler,knn,chebyshev,19,distance,0.5357
sift,15,tf_idf,knn,euclidean,6,distance,0.536
sift,20,std_scaler,knn,euclidean,13,distance,0.4995
sift,20,tf_idf,knn,euclidean,6,distance,0.5442
sift,25,std_scaler,knn,chebyshev,16,uniform,0.5434
sift,25,tf_idf,knn,euclidean,14,distance,0.5804
sift,30,std_scaler,knn,euclidean,9,uniform,0.5146
sift,30,tf_idf,knn,manhattan,11,uniform,0.5807
sift,35,std_scaler,knn,euclidean,15,distance,0.5288
sift,35,tf_idf,knn,manhattan,7,distance,0.5812
sift,40,std_scaler,knn,euclidean,17,distance,0.5362
sift,40,tf_idf,knn,euclidean,6,distance,0.5804
sift,45,std_scaler,knn,manhattan,9,uniform,0.5071
sift,45,tf_idf,knn,euclidean,6,uniform,0.528
sift,50,std_scaler,knn,euclidean,16,distance,0.5362
sift,50,tf_idf,knn,manhattan,22,uniform,0.5508
sift,55,std_scaler,knn,euclidean,12,uniform,0.5286
sift,55,tf_idf,knn,manhattan,6,distance,0.5884
sift,60,std_scaler,knn,manhattan,15,distance,0.5439
sift,60,tf_idf,knn,manhattan,6,distance,0.5952
sift,65,std_scaler,knn,euclidean,14,distance,0.5362
sift,65,tf_idf,knn,euclidean,14,uniform,0.5659
sift,70,std_scaler,knn,euclidean,13,uniform,0.5217
sift,70,tf_idf,knn,euclidean,10,uniform,0.5876
sift,75,std_scaler,knn,manhattan,9,uniform,0.5291
sift,75,tf_idf,knn,manhattan,10,uniform,0.573
sift,80,std_scaler,knn,euclidean,15,uniform,0.5217
sift,80,tf_idf,knn,euclidean,10,uniform,0.6177
sift,85,std_scaler,knn,manhattan,18,uniform,0.5143
sift,85,tf_idf,knn,manhattan,6,distance,0.5878
sift,90,std_scaler,knn,euclidean,19,uniform,0.5143
sift,90,tf_idf,knn,manhattan,8,uniform,0.5873
sift,95,std_scaler,knn,euclidean,15,uniform,0.5286
sift,95,tf_idf,knn,manhattan,7,uniform,0.5653
sift,100,std_scaler,knn,euclidean,15,distance,0.5212
sift,100,tf_idf,knn,euclidean,6,distance,0.5886
sift,105,std_scaler,knn,euclidean,13,uniform,0.536
sift,105,tf_idf,knn,manhattan,7,uniform,0.6392
sift,110,std_scaler,knn,euclidean,21,uniform,0.5288
sift,110,tf_idf,knn,manhattan,13,uniform,0.559
sift,115,std_scaler,knn,manhattan,14,distance,0.4923
sift,115,tf_idf,knn,euclidean,10,uniform,0.573
sift,120,std_scaler,knn,euclidean,13,distance,0.514
sift,120,tf_idf,knn,manhattan,6,distance,0.5881
sift,125,std_scaler,knn,euclidean,15,distance,0.5288
sift,125,tf_idf,knn,manhattan,6,distance,0.5653
sift,130,std_scaler,knn,manhattan,18,distance,0.5071
sift,130,tf_idf,knn,manhattan,6,uniform,0.5725
sift,135,std_scaler,knn,euclidean,10,uniform,0.5143
sift,135,tf_idf,knn,euclidean,8,distance,0.6024
sift,140,std_scaler,knn,euclidean,13,uniform,0.5212
sift,140,tf_idf,knn,euclidean,10,uniform,0.5804
sift,145,std_scaler,knn,manhattan,13,uniform,0.5066
sift,145,tf_idf,knn,manhattan,6,uniform,0.5802
sift,150,std_scaler,knn,euclidean,15,distance,0.4992
sift,150,tf_idf,knn,manhattan,6,distance,0.5804
sift,155,std_scaler,knn,euclidean,22,uniform,0.5
sift,155,tf_idf,knn,euclidean,14,distance,0.5661
sift,160,std_scaler,knn,euclidean,13,uniform,0.5063
sift,160,tf_idf,knn,euclidean,7,uniform,0.6103
sift,165,std_scaler,knn,euclidean,15,uniform,0.5212
sift,165,tf_idf,knn,manhattan,6,uniform,0.5659
sift,170,std_scaler,knn,euclidean,17,uniform,0.5354
sift,170,tf_idf,knn,manhattan,6,distance,0.5656
sift,175,std_scaler,knn,manhattan,21,uniform,0.5074
sift,175,tf_idf,knn,euclidean,7,distance,0.5656
sift,180,std_scaler,knn,euclidean,11,distance,0.5214
sift,180,tf_idf,knn,euclidean,8,uniform,0.5802
sift,185,std_scaler,knn,euclidean,13,uniform,0.5212
sift,185,tf_idf,knn,euclidean,7,uniform,0.6101
sift,190,std_scaler,knn,euclidean,16,distance,0.5069
sift,190,tf_idf,knn,manhattan,8,uniform,0.5876
sift,195,std_scaler,knn,euclidean,11,uniform,0.5138
sift,195,tf_idf,knn,manhattan,6,uniform,0.6167
sift,200,std_scaler,knn,manhattan,13,uniform,0.5071
sift,200,tf_idf,knn,euclidean,12,uniform,0.559
